t1	e11	e21	t2	e12	e22
10	0.001006766	0.001002083	2.62	0.001057981	0.001054114
10	0.001006766	0.001002083	2.63	0.00106036	0.001056486
10	0.001006766	0.001002083	2.64	0.00106271	0.001058828
10	0.001006766	0.001002083	2.65	0.00106503	0.001061142
10	0.001006766	0.001002083	2.66	0.001067321	0.001063426
10	0.001006766	0.001002083	2.67	0.001069583	0.001065682
10	0.001006766	0.001002083	2.68	0.001071815	0.001067908
10	0.001006766	0.001002083	2.69	0.001074018	0.001070106
10	0.001006766	0.001002083	2.7	0.001076191	0.001072275
10	0.001006766	0.001002083	2.71	0.001078336	0.001074415
10	0.001006766	0.001002083	2.72	0.001080451	0.001076526
10	0.001006766	0.001002083	2.73	0.001082537	0.001078609
10	0.001006766	0.001002083	2.74	0.001084595	0.001080663
10	0.001006766	0.001002083	2.75	0.001086624	0.001082688
10	0.001006766	0.001002083	2.76	0.001088624	0.001084686
10	0.001006766	0.001002083	2.77	0.001090595	0.001086654
10	0.001006766	0.001002083	2.78	0.001092538	0.001088595
10	0.001006766	0.001002083	2.79	0.001094452	0.001090508
10	0.001006766	0.001002083	2.8	0.001096338	0.001092392
10	0.001006766	0.001002083	2.81	0.001098195	0.001094249
10	0.001006766	0.001002083	2.82	0.001100024	0.001096078
10	0.001006766	0.001002083	2.83	0.001101826	0.001097879
10	0.001006766	0.001002083	2.84	0.001103599	0.001099652
10	0.001006766	0.001002083	2.85	0.001105344	0.001101398
10	0.001006766	0.001002083	2.86	0.001107061	0.001103116
10	0.001006766	0.001002083	2.87	0.001108751	0.001104807
10	0.001006766	0.001002083	2.88	0.001110413	0.001106471
10	0.001006766	0.001002083	2.89	0.001112048	0.001108108
10	0.001006766	0.001002083	2.9	0.001113655	0.001109717
10	0.001006766	0.001002083	2.91	0.001115235	0.0011113
10	0.001006766	0.001002083	2.92	0.001116788	0.001112856
10	0.001006766	0.001002083	2.93	0.001118314	0.001114385
10	0.001006766	0.001002083	2.94	0.001119812	0.001115887
10	0.001006766	0.001002083	2.95	0.001121284	0.001117363
10	0.001006766	0.001002083	2.96	0.00112273	0.001118813
10	0.001006766	0.001002083	2.97	0.001124148	0.001120236
10	0.001006766	0.001002083	2.98	0.001125541	0.001121634
10	0.001006766	0.001002083	2.99	0.001126907	0.001123005
10	0.001006766	0.001002083	3	0.001128246	0.00112435
10	0.001006766	0.001002083	3.01	0.00112956	0.00112567
10	0.001006766	0.001002083	3.02	0.001130848	0.001126964
10	0.001006766	0.001002083	3.03	0.001132109	0.001128232
10	0.001006766	0.001002083	3.04	0.001133346	0.001129476
10	0.001006766	0.001002083	3.05	0.001134556	0.001130693
10	0.001006766	0.001002083	3.06	0.001135741	0.001131886
10	0.001006766	0.001002083	3.07	0.001136901	0.001133054
10	0.001006766	0.001002083	3.08	0.001138036	0.001134197
10	0.001006766	0.001002083	3.09	0.001139145	0.001135315
10	0.001006766	0.001002083	3.1	0.00114023	0.001136408
10	0.001006766	0.001002083	3.11	0.00114129	0.001137478
10	0.001006766	0.001002083	3.12	0.001142325	0.001138522
10	0.001006766	0.001002083	3.13	0.001143336	0.001139543
10	0.001006766	0.001002083	3.14	0.001144323	0.00114054
10	0.001006766	0.001002083	3.15	0.001145285	0.001141512
10	0.001006766	0.001002083	3.16	0.001146223	0.001142461
10	0.001006766	0.001002083	3.17	0.001147137	0.001143387
10	0.001006766	0.001002083	3.18	0.001148028	0.001144288
10	0.001006766	0.001002083	3.19	0.001148895	0.001145167
10	0.001006766	0.001002083	3.2	0.001149738	0.001146022
10	0.001006766	0.001002083	3.21	0.001150558	0.001146855
10	0.001006766	0.001002083	3.22	0.001151355	0.001147664
10	0.001006766	0.001002083	3.23	0.001152129	0.001148451
10	0.001006766	0.001002083	3.24	0.00115288	0.001149215
10	0.001006766	0.001002083	3.25	0.001153609	0.001149956
10	0.001006766	0.001002083	3.26	0.001154315	0.001150676
10	0.001006766	0.001002083	3.27	0.001154998	0.001151373
10	0.001006766	0.001002083	3.28	0.001155659	0.001152048
10	0.001006766	0.001002083	3.29	0.001156298	0.001152701
10	0.001006766	0.001002083	3.3	0.001156915	0.001153333
10	0.001006766	0.001002083	3.31	0.00115751	0.001153943
10	0.001006766	0.001002083	3.32	0.001158084	0.001154532
10	0.001006766	0.001002083	3.33	0.001158636	0.001155099
10	0.001006766	0.001002083	3.34	0.001159167	0.001155645
10	0.001006766	0.001002083	3.35	0.001159676	0.001156171
10	0.001006766	0.001002083	3.36	0.001160165	0.001156675
10	0.001006766	0.001002083	3.37	0.001160632	0.00115716
10	0.001006766	0.001002083	3.38	0.00116108	0.001157623
10	0.001006766	0.001002083	3.39	0.001161506	0.001158067
10	0.001006766	0.001002083	3.4	0.001161912	0.00115849
10	0.001006766	0.001002083	3.41	0.001162298	0.001158893
10	0.001006766	0.001002083	3.42	0.001162664	0.001159276
10	0.001006766	0.001002083	3.43	0.00116301	0.00115964
10	0.001006766	0.001002083	3.44	0.001163336	0.001159984
10	0.001006766	0.001002083	3.45	0.001163643	0.001160309
10	0.001006766	0.001002083	3.46	0.00116393	0.001160615
10	0.001006766	0.001002083	3.47	0.001164198	0.001160901
10	0.001006766	0.001002083	3.48	0.001164447	0.001161169
10	0.001006766	0.001002083	3.49	0.001164677	0.001161418
10	0.001006766	0.001002083	3.5	0.001164889	0.001161649
10	0.001006766	0.001002083	3.51	0.001165081	0.001161861
10	0.001006766	0.001002083	3.52	0.001165256	0.001162055
10	0.001006766	0.001002083	3.53	0.001165412	0.001162231
10	0.001006766	0.001002083	3.54	0.00116555	0.001162389
10	0.001006766	0.001002083	3.55	0.00116567	0.001162529
10	0.001006766	0.001002083	3.56	0.001165772	0.001162652
10	0.001006766	0.001002083	3.57	0.001165857	0.001162757
10	0.001006766	0.001002083	3.58	0.001165924	0.001162846
10	0.001006766	0.001002083	3.59	0.001165974	0.001162917
10	0.001006766	0.001002083	3.6	0.001166007	0.001162971
10	0.001006766	0.001002083	3.61	0.001166023	0.001163008
10	0.001006766	0.001002083	3.62	0.001166022	0.001163029
10	0.001006766	0.001002083	3.63	0.001166005	0.001163033
10	0.001006766	0.001002083	3.64	0.001165971	0.001163021
10	0.001006766	0.001002083	3.65	0.001165921	0.001162993
10	0.001006766	0.001002083	3.66	0.001165855	0.001162949
10	0.001006766	0.001002083	3.67	0.001165773	0.001162889
10	0.001006766	0.001002083	3.68	0.001165675	0.001162814
10	0.001006766	0.001002083	3.69	0.001165562	0.001162723
10	0.001006766	0.001002083	3.7	0.001165433	0.001162617
10	0.001006766	0.001002083	3.71	0.001165289	0.001162496
10	0.001006766	0.001002083	3.72	0.001165129	0.00116236
